index,answer
index_0,20.305027792563614
index_1,30.259548459157422
index_2,16.939596188948354
index_3,19.127709176853003
index_4,29.08790527679874
index_5,29.007590907193897
index_6,15.826836001776956
index_7,22.922319315617504
index_8,37.1298969132529
index_9,12.31712556943755
index_10,27.105080698363054
index_11,25.397976961506238
index_12,31.461507284298126
index_13,25.55514981934295
index_14,16.023378002262554
index_15,43.82341989435364
index_16,34.41643687694082
index_17,8.649881331199506
index_18,12.442627643614026
index_19,17.013369692751873
index_20,24.681202705871893
index_21,8.586398035253147
index_22,4.951471449421288
index_23,14.068705737269562
index_24,25.105572558015247
index_25,24.096457917871106
index_26,14.05781247231271
index_27,35.922132701425404
index_28,23.1559087492433
index_29,16.98136135718872
index_30,10.342170883282332
index_31,14.014717268512875
index_32,29.839574960387843
index_33,6.351457316985276
index_34,7.011243146209064
index_35,10.703905994038031
index_36,9.831653014388948
index_37,20.089940607213887
index_38,14.13362333082786
index_39,6.0880267981139236
index_40,13.177737469823544
index_41,8.125206843087694
index_42,7.911164757638931
index_43,9.938218392766634
index_44,11.038101029973605
index_45,8.941138660205226
index_46,6.950090394621511
index_47,3.944241145099745
index_48,4.31126480127371
index_49,9.394912267131009
index_50,1.7801681913026295
index_51,3.887507841503128
index_52,4.7072656280076135
index_53,5.043624849550376
index_54,7.687076672290648
index_55,3.15575411887974
index_56,3.8668836765642682
index_57,1.4952811736605058
index_58,6.360525943859093
index_59,11.440012342501362
index_60,10.451530962529235
index_61,5.417439800321989
index_62,8.299723246636201
index_63,2.128783654101477
index_64,7.1434361181786565
index_65,13.71824387095518
index_66,6.61108896924582
index_67,13.055830342826056
index_68,9.39043569501609
index_69,5.008517506825445
index_70,5.340102611753707
index_71,12.886978082831682
index_72,16.603059716730257
index_73,7.124715664628507
index_74,8.167695943489854
index_75,6.12200792964776
index_76,9.875685217564135
index_77,10.226085457043103
index_78,17.16227895528871
index_79,24.159079909334242
index_80,32.78618787599141
index_81,21.395261449470286
index_82,20.800490855645243
index_83,14.836452508878105
index_84,13.244048865253834
index_85,8.202056072790294
index_86,22.004689429154272
index_87,13.150152553803377
index_88,12.892224982675575
index_89,9.780833672378249
index_90,17.86985022369073
index_91,18.967523781065825
index_92,8.36783863466485
index_93,5.426356232562634
index_94,14.779403853946528
index_95,5.675624653029721
index_96,10.71585834866405
index_97,5.149580823628005
index_98,8.396451734973049
index_99,10.225876267640349
index_100,11.441399655321666
index_101,9.586249226989533
index_102,11.156665614950679
index_103,17.80882898267259
index_104,9.735988249376325
index_105,14.725927538314224
index_106,14.254145365689984
index_107,11.060286079431318
index_108,7.7109439903884995
index_109,13.429768215582703
index_110,5.9107058924637546
index_111,11.59443277033485
index_112,6.524035549436939
index_113,34.65057320373395
index_114,6.5090093593756535
index_115,18.034461728540585
index_116,19.365012992137014
index_117,15.033239323105706
index_118,6.40797329551441
index_119,12.084060379180901
index_120,8.174908449470758
index_121,21.13222477748682
index_122,27.52755599144077
index_123,19.055235799283373
index_124,45.86752968131491
index_125,14.64297170682004
index_126,12.494641056039963
index_127,20.003577512358405
index_128,35.12556228773243
index_129,13.07078097925734
index_130,11.529686171761133
index_131,13.436140179696045
index_132,11.681328787911024
index_133,31.162127709193307
index_134,40.94414399695739
index_135,46.8788867370824
index_136,18.295190080588714
index_137,14.31883277766378
index_138,24.141378892024402
index_139,38.79797683670174
index_140,9.958632178754073
index_141,10.609542122553595
index_142,26.22502787405847
index_143,33.617194312294764
index_144,15.029577594878205
index_145,27.10443629168666
index_146,14.153621914335012
index_147,31.777656986007543
index_148,23.65196886532334
index_149,33.75155517851565
index_150,42.22258809852504
index_151,20.51024599058722
index_152,30.551623675935897
index_153,13.529365028865849
index_154,3.428515927512424
index_155,16.497769535191562
index_156,7.9434463994392415
index_157,10.33386120862041
index_158,5.618973469894427
index_159,14.32103535639221
index_160,18.306364929456745
index_161,4.1935464478442315
index_162,8.704216709509215
index_163,24.498921749074054
index_164,8.360064891109158
index_165,10.868799753492974
index_166,14.49784004016232
index_167,9.629673759398406
index_168,8.13888557469959
index_169,8.970029264922426
index_170,5.532441893777711
index_171,7.790389263566873
index_172,3.0375287010989824
index_173,3.041164742011247
index_174,5.777648473535724
index_175,3.322597923974835
index_176,10.949291949148128
index_177,9.73803579047659
index_178,9.151751946499973
index_179,2.577475612824414
index_180,7.017910369817213
index_181,5.209174406800932
index_182,5.31617863256739
index_183,1.4149720720040666
index_184,5.2662215879172205
index_185,7.4560528485761965
index_186,8.382292942544868
index_187,15.485587845935637
index_188,11.77333547833705
index_189,13.15089881721101
index_190,18.089932627702048
index_191,11.423646283634184
index_192,7.568812378652553
index_193,7.663124437332749
index_194,12.071750205928304
index_195,10.766936669016198
index_196,10.2780759398938
index_197,8.956718718419898
index_198,12.374077242808358
index_199,20.446931277116214
index_200,13.711596344203853
index_201,19.165059856164074
index_202,13.188476169474201
index_203,21.15789424092753
index_204,35.641800410515124
index_205,7.4864831535060885
index_206,24.052505267643788
index_207,8.453799392571701
index_208,13.73110220322131
index_209,9.084668421466246
index_210,6.619558682970254
index_211,18.10452525765155
index_212,23.64672466536205
index_213,25.569804962106616
index_214,1.3022533725974499
index_215,7.578616134808136
index_216,6.912457366885756
index_217,8.003279222998065
index_218,8.296820422918397
index_219,11.957173776979664
index_220,14.689887376483126
index_221,12.636465036292217
index_222,14.314285631322331
index_223,9.394126406615236
index_224,19.64945297970396
index_225,20.85092773946764
index_226,16.420395560868116
index_227,10.704616090395588
index_228,5.393075051544382
index_229,6.487741063476492
index_230,2.4954833448647813
index_231,9.164311763823411
index_232,29.776421066004005
index_233,3.160445727257196
index_234,18.078255667431993
index_235,18.95206453347187
index_236,14.530389455446691
index_237,8.650382527367425
index_238,10.16939136254945
index_239,10.761876553653243
index_240,13.036486579523867
index_241,13.236905715424575
index_242,30.13281619916739
index_243,8.117180749927043
